country,sahoStatusEHA,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,WespEconType,WespFuelExp,WespHvyIndbt,WespIncomeCat,WespLandLckdDev,WespLstDev,WespRegion,WespSmlsDev,allhouse,armedConflict,casesMD,christCountry,christPct,ciaAirports,ciaArea,ciaBirthRate,ciaBroadbandFixedSubs,ciaBudgetSurplusDeficit,ciaCarbDioxEmsCons,ciaChildUnder5Underwt,ciaCrudeOilExports,ciaCrudeOilImports,ciaCrudeOilProduction,ciaCrudeOilProvedReserves,ciaCurrentAcctBalance,ciaDeathRate,ciaDebtExternal,ciaEducationExpenditures,ciaElectyConsump,ciaElectyExports,ciaElectyFossilFuels,ciaElectyHydroPlants,ciaElectyImports,ciaElectyInstallGenCap,ciaElectyNukeFuels,ciaElectyOthRenew,ciaElectyProduction,ciaExports,ciaFields,ciaGDPPerCapitaPPP,ciaGDPRealGrowthRate,ciaGrossNationalSaving,ciaHivAidsDeaths,ciaImports,ciaIndustProdGrowthRate,ciaInfantMortalityRate,ciaInflationRateConsPrices,ciaInternetUsers,ciaLaborForce,ciaLifeExpectancyAtBirth,ciaMaternalMortalityRate,ciaMedianAge,ciaMerchantMarine,ciaMilitaryExpends,ciaNatGasConsum,ciaNatGasExpts,ciaNatGasImpts,ciaNatGasProd,ciaNatGasProvResvs,ciaNetMigrationRate,ciaObesityAdultPrevRate,ciaPeopleWithHivAids,ciaPhonesFixed,ciaPhonesMobile,ciaPopGrowRate,ciaPopulation,ciaPublicDebt,ciaRailways,ciaRefPetrolProdExports,ciaRefPetrolProdsImports,ciaRefdPetrolProdsConsump,ciaRefinedPetrolProductsProd,ciaReservesForeignExchangeGold,ciaRoadways,ciaTaxesOtherRevenues,ciaTotalFertilityRate,ciaUnemploymentRate,ciaUnemploymentYouth1524,ciaWaterways,colLeg_n2,comDis,creditChegxin,creditDBRS,creditDagong,creditFitch,creditJCR,creditMoodys,creditSP,creditScope,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,elect2020,elect2020postponed,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,govEffInd,govHlthSpd,hapCorrupt,hapFreedom,hapGenerosity,hapLadder,hapSocSup,hlthRisks,hlthWork,idaEligible,ihr01,ihr02,ihr03,ihr04,ihr05,ihr06,ihr07,ihr08,ihr09,ihr10,ihr11,ihr12,ihr13,ihrTotal,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prevAdopt,prtyin,regEff,regTypeFH_n,roadInj,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiff66,tempDiffS,tempDiffSunfitted,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
Egypt,open,22,2.97272525,26781400000,14.58296913,0.847763698,16.09796714,3.51107011,100,86.99945205,6.643889152,12.5,44.4,13326.67,12959679.65,94.9717,57.2829,835500,1.180453002,17.49995303,25.76517671,5852.993628,5.557683888,6.91132839,2690,104.6092987,,14.93288591,20.3,0.09,60.74052792,3.8,31.5,32.5,5.06,42923.8269,30.95345626,46.4129982,258391,1.976284348,24.61085109,0.0000329642,152.0270581,Developing,0,0,LowMid,0,0,nAfrica,0,0,war,0.0000224709,0,5.1,83,1001450,27.2,6579762,-8.6,232700000,7,246500,64760,639000,4400000000,-8915000000,4.36,77470000000,,159700000000,1158000000,91,6,54000000,45120000,0,2,183500000000,87891000000,,2537.5,5.3,9,,115345000000,3.5,18.25,9.3,46644728,24113000,74.01,37,24.1,402,1.2,57710000000,212400000,7079000000,50860000000,2186000000000,-0.34,32,26000,8885103,96657295,2.17,104124440,103,5085,47360,280200,878000,547500,35890000000,65050,17.9,3.23,7.86,29.6,3500,1/Britain,12,N/A,N/A,B-,B+,N/A,B2,B,N/A,1,0.000977188,0,0,0,0,0,2,0,5,6,0,0,73.26,1,3,0,0,16,39,1,2000,7.6009026,0,-0.6,32.99524188,0.787726879,0.708354175,-0.196878314,4.151400089,0.735447824,83,,0,93,90,80,80,73,100,80,100,93,60,90,60,80,83,14.4,17.94,0,5,6,37,44502,4.521,1,1,94.9,2,-190164,neither,0,0,27.7,,-999,96.91,2,-4,3,97.999,102334403,4,0,6,2/Muslim,0/notFree,9.7,0,2,,10,1,0,1,0.36,68,0,484,6.164414003,6.557438524,21.4,42.7,0.28,2,1
EqGuinea,saho,45,4.101717108,,,0.055051473,,2.214436859,6.609482573,53.24062104,6.438860589,33,79.4,2.6,420832.2563,45.1669,26.24,1450,1.072141334,55.13387379,52.24744124,1237.263752,-5.576308454,33.72644649,6460,40.77592087,,21,81.8,6.48,,,,,,50769.97793,81.66475798,61.96699905,,3.528524074,,0.0000716438,179.6565263,Developing,1,0,UpMid,0,0,cAfrica,0,1,none,0,1,88.7,7,28051,30.7,1620,-3.3,3062000,5.6,308700,0,172000,1100000000,-738000000,7.3,1211000000,,465000000,0,61,38,0,331000,0,2,500000000,8776000000,,10179.2,-4.7,6.1,1800,6245000000,-6.9,59.7,1.2,209253,195200,65.7,301,20.3,40,,1189000000,4878000000,0,6069000000,36810000000,0,8,65000,6779,368920,2.35,836178,37.4,,0,5094,5200,0,45500000,2880,16.9,4.11,8.6,,,3/neither,181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,3,4,6,0,0,100.1,0,0,0,0,45,85,1,9850,9.1952267,0,-1.3,18.83260906,,,,,,22,,0,20,20,20,20,20,40,20,20,27,20,20,20,20,22,1.2,62.21,0,8,6,301,507,4.017,1,0,4,2,79998,prod,1,0,22,0,-999,93.53,2,-6,1,45.194,1402985,2,0.018518519,29,1/Africa,0/notFree,24.6,0,1,,12,2,3,,7.23,45,0,2025,3.872983346,4.472135955,,72.6,1.11,6,38
Eritrea,open,38,,,,,,4.828972556,34.58702866,48.03019868,,84,83.7,21.37,101357.3759,20.364,1.30891,201750,,,,,,,,60.27051163,,22,40.5,0.15,,,,,,,83.6032015,78.38800049,199,,,,87.49763373,Developing,0,1,Low,0,1,eAfrica,0,1,twenty,0,1,62.9,13,117600,27.9,600,-9.8,597100,39.4,0,0,0,0,-137000000,6.79,792700000,,353900000,0,99,0,0,160700,0,1,415900000,624300000,,1985.4,4.2,5.5,,1127000000,5.4,42.39,9,78215,2710000,66.51,480,20.3,9,,0,0,0,0,0,-10.84,5,14000,116882,1226660,0.98,6081196,131.2,306,0,3897,4000,0,236700000,16000,34.9,3.65,5.8,,,3/neither,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,4,2,9,2,0,0,95.47,0,0,0,0,52,137,-999,1146,7.0440331,0,-1.7,27.24905908,,,,,,49,,1,20,60,80,20,53,50,80,20,80,80,50,20,20,49,-16.37,31.32,0,6,2,480,212,0.628,0,0,36.6,3,-199290,neither,0,0,23.9,0,0,-999,2,-7,0,44.304,3546427,2,0.018518519,24,1/Africa,0/notFree,25.3,0,3,,15,3,1,0,1.44,38,1,1444,4.69041576,5.196152423,7.2,40.7,8.74,-999,24
EswSwa,saho,57,2.861860596,118702081.8,,2.751805398,2.76626266,4.611645818,70.18458263,17.16878731,6.96854201,21.5,35.8,34.05,52744,93.5273,47,,1.823258322,45.89519592,43.19706476,13960.58947,2.243919525,2.350258829,3670,94.48487091,,7.246376812,49.4,9.77,,29.2,54.6,58.9,5.73,33899.91222,85.46495504,52.50500107,940,1.045309194,0.863457216,0.0000857859,102.2183413,Developing,0,0,LowMid,1,0,sAfrica,0,1,none,0.010928961,1,88.1,14,17364,24.5,7000,-8.5,1140000,5.8,0,0,0,0,604000000,10.1,526300000,7.1,1431000000,0,39,20,1077000000,295900,0,41,381000000,2389000000,,4145.7,2.4,25.4,2300,2605000000,5.6,42.8,6.2,510984,427900,58.6,437,23.7,,1.8,0,0,0,0,0,-6.8,16.5,200000,40003,1025061,0.77,1104479,28.4,301,0,5279,5300,0,563100000,3769,28.6,2.52,28,47.1,,1/Britain,363,N/A,N/A,N/A,N/A,N/A,B2,N/A,N/A,4,0.34477884,0,0,0,0,0,1,0,4,2,0,0,68.65,0,0,0,0,45,79,0,3224,8.0783777,50,-0.7,50.74532032,0.708263338,0.646822274,-0.19920142,4.308100224,0.770290196,40,,0,40,20,20,40,87,70,20,27,33,20,80,40,20,40,4.8,40.72,0,3,4,437,366,3.285,0,0,0.2,2,-41764,minCons,2,0,26.7,0,-999,-999,1,-9,0,79.492,1160164,3,0.314814815,-999,1/Africa,0/notFree,26.9,0,1,,7,2,2,0,10.04,63,0,3249,1.732050808,2.828427125,10.7,24,13.91,-999,31
Ethiopia,open,73,2.623459552,531044170,,5.876660243,28.9415243,13.66926417,32.65367232,38.97873776,,32,37.7,1994.44,12631216,36.2007,18.6181,138000,0.601169492,7.939976609,20.8753244,591.2741783,8.364085699,6.161209944,850,54.11090088,4.737919807,38.75685558,50.7,0.23,,32.6,35,23.5,3.03,4779.791484,85.64049238,79.55000305,733123,2.579563348,46.53522828,0.0000180529,128.9530252,Developing,0,1,Low,1,1,eAfrica,0,1,war,0.007742704,1,62.8,57,1104300,31.6,580120,-3.2,12180000,21.1,0,0,0,428000,-6551000000,5.8,26050000000,4.7,9062000000,166000000,3,86,0,2784000,0,11,11150000000,3230000000,,735.1,6.8,32.1,12000,15590000000,10.5,34.62,15.7,19118470,52820000,67.9,401,19.8,11,,0,0,0,0,24920000000,-0.2,4.5,670000,1095946,38147361,2.5,108113150,54.2,659,0,69970,74000,0,3013000000,120171,13.9,4.07,17.5,25.2,,3/neither,140,N/A,N/A,CCC,B,N/A,B2,B,N/A,65,0.056539644,2,0.001739681,0.000238237,0,0,4,3,10,6,1,0,82.1,0,0,0,0,44,67,1,720,6.5792513,50,-0.6,24.94517863,0.753690004,0.740795195,0.043377332,4.186200142,0.743307352,63,,1,87,80,40,40,80,70,80,73,73,80,40,40,40,63,15.8,37.93,0,10,6,401,8395,0.769,0,0,34.6,6,150002,neither,4,1,18.3,0,-999,-999,2,1,3,104.957,114963583,3,0.666666667,5,1/Africa,0/notFree,26.7,2,2,59.4,20,2,2,1,2.36,39,2,3481,3.605551275,2.828427125,4.6,21.2,4.22,3,5
Gabon,saho,71,9.204073991,18458042.25,,0.737735369,8.56898848,6.536376969,62.51130721,44.38554846,,10,47.1,63.78,77320,138.281,62,6700,1.59301498,50.67318194,21.57661542,5832.404686,3.944946204,23.42102391,7170,,,17.91044776,42.5,1.07,,3.4,38,33.4,,56241.61673,70.39283368,52.89500046,454,2.484089207,0.797779622,0.0000626628,181.5712261,Developing,1,0,UpMid,0,0,cAfrica,0,1,none,0.0234375,1,76.5,44,267667,26.3,29099,-1.9,4293000,6.4,214200,0,196000,2000000000,-725000000,9.41,6490000000,2.7,2071000000,0,51,49,344000000,671000,0,0,2244000000,10800000000,,8018.8,1.2,25.6,1100,5020000000,1.8,4.27,2.4,1313802,557800,81.3,252,21,40,1.6,401000000,0,0,401000000,28320000000,2.47,15,51000,22412,3008814,0.48,2230908,62.7,649,4662,10680,24000,16580,981600000,14300,17.6,1.86,28,35.7,1600,2/France,521,N/A,N/A,N/A,CCC,N/A,Caa1,N/A,N/A,33,1.482661,1,0.044929121,0.000710227,0,0,1,3,2,7,0,0,50.56,0,0,0,0,43,51,1,7220,8.8846102,66.666664,-0.8,63.28516006,0.849150956,0.704829216,-0.222261623,4.829299927,0.787886858,27,,0,20,50,20,20,47,40,40,20,27,20,10,20,20,27,2.5,32.21,0,6,6,252,1408,6.819,0,0,11.2,3,16301,prod,11,0,14.4,0,-999,50.66,1,3,1,7.859,2225728,2,0.648148148,49,1/Africa,0/notFree,23.2,0,0,,8,0,2,0,8.74,49,0,3721,3.31662479,2.449489743,,89.7,1.76,6,8
Gambia,open,58,1.766964326,275477907.9,,14.17204082,13.41188534,4.498080953,35.46297136,33.98263855,7.089868273,8,48.4,33.83,109542.1451,139.529,19.8365,800,0.824343186,20.63737759,34.90131485,1884.563044,6.056765744,2.470896844,750,78.94251251,2.420300007,10.34482759,51.7,1.77,,10.3,35.9,48.6,,7364.623026,75.27541521,59.40100098,4302,2.921850237,48.2694865,0.000041236,104.335981,Developing,0,1,Low,0,1,wAfrica,0,1,none,0.014084507,0,4.5,,11300,27,4433,-2.6,607300,10.3,0,0,0,0,-194000000,5.76,586800000,2.4,282800000,0,97,0,0,117000,0,3,304100000,643000000,,716.1,6.5,6.8,1100,1246000000,-0.8,29.45,7.1,406918,777100,69.37,597,21.8,8,,0,0,0,0,0,3.76,10.3,28000,41179,2977068,2.41,2173999,88,,42,3738,3800,0,170000000,2977,20.3,3.36,,13.1,390,1/Britain,158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0.12413806,1,0.041379355,0.004694836,0,0,4,3,9,7,0,0,97.3,0,0,0,0,48,54,0,709,6.5638556,100,-0.6,22.89288193,0.690717816,0.733163178,0.343198717,4.750599861,0.6931687,38,,1,27,40,20,20,33,60,80,47,33,60,40,20,20,38,7.1,36.82,1,6,6,597,213,1.021,1,1,95.1,1,-15436,neither,0,0,20.4,0,-999,43.29,3,4,0,207.566,2416664,2,0.388888889,1,2/Muslim,1/partFree,29.7,0,1,,15,2,2,1,3.55,44,0,3364,1.414213562,2.645751311,14.4,61.9,20.92,4,1
Ghana,open,56,3.461741106,3520561664,,1.660566472,7.290878843,3.745240322,67.34916374,34.7135141,8.543351561,13,55.4,1275.99,597343,134.319,39,15500,0.441936078,35.97678235,35.40140847,3364.755152,6.478394805,14.07912633,2220,93.80911255,3.989439964,13.09090909,46.2,1.1,,13,43.5,23.4,6.64,13322.93409,88.50760546,67.79799652,11946,2.162577887,4.42376537,0.0000434121,190.2605046,Developing,0,1,LowMid,0,0,wAfrica,0,1,twenty,0.013393985,1,74.9,10,238533,29.6,62320,-6,13670000,12.6,104000,6220,173000,660000000,-2131000000,6.3,22140000000,4,9363000000,187000000,58,42,511000000,3801000,0,1,12520000000,13840000000,,2201.6,6.3,9,14000,12650000000,16.7,33.33,8.4,10959964,12490000,69.01,308,21.4,50,,1232000000,0,317400000,914400000,22650000000,-0.17,10.9,340000,272801,38571189,2.26,29340248,71.8,947,2654,85110,90000,2073,7555000000,109515,20.3,3.71,11.9,9.1,1293,1/Britain,144,N/A,N/A,B-,B,N/A,B3,B,N/A,53,0.17056639,2,0.006436468,0.000505433,0,0,3,2,6,7,1,1,101.5,0,0,1,0,43,52,0,1056,6.9622436,33.333332,-0.2,33.47040415,0.847964764,0.794796526,0.094170853,5.147999763,0.728601098,49,,1,33,60,60,40,53,80,20,33,40,80,40,40,60,49,7.2,34.96,0,5,7,308,3957,1.359,0,0,15.8,3,-50000,prod,15,1,20.8,0,-999,53.85,1,8,1,126.719,31072945,3,0.296296296,9,1/Africa,2/free,24.9,0,1,46.2,11,2,1,1,2.75,47,,3136,2,3,3.7,56.7,5.54,3,1
Guinea,saho,60,0.361073501,158130000,,5.50643175,2.51772936,10.61603851,19.6652011,26.0624902,2.713876675,15,69.3,27.84,,100.797,18,12700,2.029174026,30.59925875,45.60169629,828.7714134,5.6,14.49197714,930,59.66736984,2.315939903,22.80701754,98.8,0.68,,,,43.7,,7693.410707,104.1425121,61.5340004,4964,2.834575382,0.188768056,0.000059756,106.5206626,Developing,0,1,Low,0,1,wAfrica,0,1,twenty,0.008188332,0,10.9,16,245857,36.1,1213,-0.5,2794000,16.3,0,0,0,0,-705000000,8.4,1458000000,2.3,556100000,0,33,67,0,550000,0,0,598000000,5041000000,,937.6,5.8,5.1,3100,7924000000,11,52.4,9.4,2133974,5558000,63.2,576,19.1,,2,0,0,0,0,0,0,7.7,110000,0,12283911,2.76,12527440,37.9,1086,0,18460,19000,0,331800000,44301,16.6,4.92,2.7,1,1300,2/France,176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,0.060916215,0,0,0,1,3814,3,3,9,7,1,1,127.3,0,0,0,0,44,77,-999,802,6.6871085,33.333332,-1,17.17888862,0.761794448,0.706846774,0.076328471,4.949299812,0.637573481,44,,1,53,60,60,20,60,80,40,47,33,40,40,20,20,44,9.5,65.11,0,9,7,576,977,0.832,0,1,84.4,6,-20000,neither,0,0,22.4,0,-999,,3,4,3,51.755,13132792,3,0.425925926,4,2/Muslim,1/partFree,28.2,0,1,21.5,18,3,2,-999,1.11,37,0,3600,0,2.236067977,,36.5,5.85,3,7
Guinea-B,open,88,2.28548234,130991138.8,,10.45913265,3.289964696,12.01927215,9.987460548,29.77470228,3.77975545,8.5,45.5,15.01,,82.7926,3.93051,4450,1.424674883,23.49763888,33.51091696,830.5274859,4.600094045,9.236051387,820,,,13.7254902,78.5,1.85,,,,,,4899.638442,83.70309993,71.96399689,1846,2.456522095,5.259808956,0.0000400911,101.4060913,Developing,0,1,Low,0,1,wAfrica,1,1,twenty,0.2290749,0,19.7,8,36125,36.9,1204,-1.3,397900,17,0,0,0,0,-27000000,7.9,1095000000,2.1,36270000,0,99,0,0,28300,0,1,39000000,188000000,,778.4,3.8,8.6,1500,383000000,2.5,51.9,0.2,72047,731300,62.8,667,18,8,1.4,0,0,0,0,0,-3.8,9.5,40000,0,1555961,2.51,1927104,53.9,,0,2625,2700,0,356400000,4400,18.2,4.75,,,,3/neither,361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,2.6422791,0,0,0,0,0,4,3,10,7,0,0,108.4,1,0,3,0,57,88,1,723,6.5834093,100,-1.5,8.197737485,,,,,,25,,1,27,20,40,20,20,30,20,27,27,40,20,20,20,25,1.5,53.97,0,7,7,667,227,1.274,0,0,45.1,2,-6996,neither,1,1,20,0,-999,40.89,3,6,0,66.191,1967998,2,0.722222222,3,1/Africa,1/partFree,31.1,0,1,,17,3,3,,5.38,40,0,1936,5.291502622,4.795831523,,43.8,13.53,2,1
Kenya,saho,57,1.395176769,2838192215,26.24158065,2.882437618,38.19827218,7.845690551,71.67698246,28.57837427,4.65145974,23,37.2,1246.76,6417534.056,103.769,22.5651,29100,1.15594133,12.03179759,21.36964548,1119.891127,5.365748965,1.309758659,1750,99.67874146,5.306250095,21.7765043,43.2,1.47,,37.1,40.8,36.1,,9791.703931,93.25489329,74.69599915,438899,2.27190164,14.96841743,0.0000246003,102.7393628,Developing,0,0,LowMid,0,0,eAfrica,0,0,twenty,0.003108679,1,84.8,197,580367,27.2,371498,-6.7,17980000,11.2,0,12550,0,0,-57594000000,5.09,27590000000,5.3,7863000000,39100000,33,34,184000000,2401000,0,33,9634000000,10078000000,,1710.5,6.3,10.4,21000,18729000000,3.6,28.81,5.1,9129243,19600000,69.32,342,20,24,1.3,0,0,0,0,0,-0.2,7.1,1500000,68072,54336841,2.15,53527936,54.2,3819,173,90620,109000,13960,7354000000,177800,17.6,3.36,40,7.4,,1/Britain,267,N/A,N/A,B,B+,N/A,B2,B+,N/A,25,0.046493202,0,0,0,0,0,3,1,5,7,0,0,39.89,0,0,0,1,44,57,1,1507,7.3178763,0,-0.4,42.73926914,0.831499159,0.829747558,0.294681519,4.583000183,0.702652037,43,,1,40,40,60,60,60,50,20,33,40,40,50,40,20,43,4.7,32.82,1,5,7,342,8042,1.565,0,0,9.7,5,-50000,neither,6,1,13.4,0,-999,50.51,0,9,1,87.324,53771300,3,0.314814815,4,1/Africa,1/partFree,27.8,0,2,77.6,10,2,1,,2.78,55,0,3249,1.732050808,2.828427125,11.8,27.5,3.42,1,4
Lesotho,saho,48,4.950727159,495111530.5,,5.187595365,4.986483097,9.7240285,37.71324522,28.02865352,3.736530864,15,13.6,18.54,,113.831,29,2000,1.546863635,45.16940722,94.19669451,1831.981328,-0.805720589,3.344852177,1380,85.62885284,6.985189915,23.33333333,86.4,11.35,,27.8,44.9,49.7,,7701.707561,79.22016095,67.88400269,143,0.809566476,1.914584494,0.000129233,76.90000546,Developing,0,0,LowMid,1,1,sAfrica,0,0,none,0,1,96.8,24,30355,23.2,5763,-6,711100,10.5,0,0,0,0,-102000000,15.05,934600000,7,847300000,0,0,100,373000000,80400,0,1,510000000,1106000000,,1248,1.2,20.3,4800,2613000000,12.5,3.66,5.3,569114,930800,75.61,544,24.7,,1.5,0,0,0,0,0,-4.75,16.6,340000,7865,2238186,-1.04,1969334,33.7,,0,5118,5000,0,657700000,5940,39.7,1.61,28.1,34.4,,1/Britain,654,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,0,7,7,0,0,113.4,0,0,0,0,106,137,0,1178,7.0715733,0,-0.9,62.92030215,0.857392073,0.738125861,-0.145732045,3.652800083,0.780495703,29,,1,27,40,40,20,80,40,20,20,40,20,30,0,0,29,5.2,69.09,1,3,7,544,138,0.692,0,0,0.1,1,-50234,neither,0,0,26.6,0,-999,-999,2,8,0,73.562,2142252,2,0.037037037,5,1/Africa,1/partFree,28.9,0,1,,10,2,2,0,4.59,48,2,2304,3.464101615,4.123105626,29.7,28.6,12.09,3,2
Liberia,saho,51,4.48784197,301266549.6,,20.18924655,7.092725615,25.99234268,7.390765992,17.98411246,3.172171736,18,46.2,25.39,,56.569,7.98448,2100,0.51652075,28.72532815,98.72694774,786.9433956,-2.278245125,21.55805217,580,60.59540176,2.584120035,12.32876712,84.6,0.74,,44.4,35.3,50.9,,3249.342889,89.38535082,76.31500244,8225,2.427194604,,0.0000454972,135.4239242,Developing,0,1,Low,0,1,wAfrica,0,0,twenty,0.011904762,1,85.9,29,111369,37.3,8000,-4.3,1163000,13.6,0,0,0,0,-627000000,7.89,1036000000,2.6,279000000,0,57,43,0,151000,0,0,300000000,330000000,,440.3,1.2,-21.9,1900,1820000000,9,4.12,12.4,383819,1677000,82.36,661,18,3716,,0,0,0,0,0,4.84,9.9,47000,8394,2793316,0.73,5073296,34.4,429,0,8181,8000,0,459800000,10600,16.9,1.69,2.8,2.3,,1/Britain,308,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0.039543845,0,0,0,1,10678,4,3,7,6,0,0,83.32,0,0,0,1,47,66,0,583,6.368187,0,-1.3,17.2045514,0.856375933,0.735268712,0.04227322,4.557899952,0.70928055,46,,1,40,70,60,20,47,80,40,47,33,60,60,20,20,46,23.6,63.31,1,5,7,661,168,0.376,0,0,12,3,-25000,neither,0,0,17.6,,,43.93,1,7,0,49.127,5057677,3,0.111111111,12,1/Africa,1/partFree,35.9,0,0,,12,2,2,,6.12,39,0,2601,3,3.741657387,8.4,51.6,12.84,0,12
Libya,saho,52,,,,0.566711327,,4.208260941,,54.25468179,11.36352242,35,32.6,161.9,1367458,91.4793,21.7589,,,64.37081654,53.10223087,,2.535953478,43.44257542,7640,,,15.95744681,11.5,0.1,26.11147741,,,,,52134.62721,51.98132381,49.68600082,4730,1.469777653,,0.0000745117,159.1837304,Developing,1,0,UpMid,0,0,nAfrica,0,-999,war,0,0,2.7,146,1759540,23,168920,-25.1,46480000,11.7,337800,0,1039000,48360000000,2574000000,3.46,3020000000,,27300000000,0,100,0,376000000,9460000,0,0,34240000000,18380000000,,5147.3,17.9,5,,11360000000,60.3,11.48,28.5,1440859,1114000,76.93,72,25.8,94,,4446000000,4644000000,0,9089000000,1505000000000,-1.15,32.5,9500,1618511,6182105,1.76,6890535,4.7,,16880,168200,260000,89620,74710000000,37000,51.6,3.13,30,48.7,,3/neither,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,3,5,2,0,0,43.3,1,0,3,0,55,64,-999,3941,8.2791901,16.666666,-1.8,63.29393387,0.668779135,0.773157001,-0.085054487,5.488800049,0.825942934,54,,0,73,80,80,40,53,70,80,20,53,20,30,20,80,54,2.6,10.23,0,9,2,72,13757,20.905,1,1,96.6,6,-9997,prod,0,0,20.1,-999,-999,-999,3,0,3,3.623,6871287,2,0.166666667,-999,2/Muslim,0/notFree,26.1,1,3,,14,0,0,2,0.019,64,0,2704,2.828427125,3.605551275,,80.4,0.81,-999,3
Madagascar,saho,53,1.610155326,433036326.8,,5.156212184,2.520154133,5.366858454,0.021077592,22.54228288,2.380960174,8,38.3,127.41,544458,40.5703,9.8,21500,0.613169182,26.59677097,33.28494079,362.4475096,4.851,6.09048639,520,63.27682114,2.825489998,15.89403974,50.6,0.4,,,,,,3264.181374,93.74170583,86.1269989,113,2.656240162,20.22387713,0.0000465262,72.88795332,Developing,0,1,Low,0,1,eAfrica,0,0,none,0.000701754,1,85.3,83,587041,29.9,27211,-2.7,4021000,26.4,0,0,0,0,-35000000,6.53,4089000000,2.8,1587000000,0,74,24,0,675400,0,2,1706000000,5272000000,,527.4,4.6,14.8,1400,5855000000,5.2,19,5.6,2516994,13400000,73.56,335,20.3,29,,0,0,0,0,0,-1.83,5.3,39000,68426,10677153,0.92,26955737,36,836,0,18880,18000,0,1600000000,31640,15.9,2.29,1.8,1,600,2/France,233,N/A,N/A,CCC,N/A,N/A,N/A,N/A,N/A,3,0.010833837,0,0,0,0,0,4,1,9,3,0,0,79.94,0,0,0,0,51,109,0,516,6.2461066,0,-1.2,46.88048661,0.817485631,0.557574093,-0.011823639,4.165599823,0.668195903,29,,1,27,30,20,40,47,60,20,27,20,20,30,20,20,29,5.6,37.46,0,3,7,335,4275,1.812,0,0,3,0,-7500,neither,0,0,22.9,0,0,15.85,3,6,1,43.951,27691019,2,0.185185185,3,1/Africa,1/partFree,28.6,0,1,,12,2,0,2,1.97,28,0,2809,2.645751311,3.464101615,28.9,37.9,4.4,2,3
