country,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,UHC,allhouse,armedConflict,casesMD,christCountry,christPct,colLeg_n2,comDis,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,geoDiffXdayNum,govEffInd,govHlthSpd,hlthRisks,hlthWork,idaEligible,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prtyin,regEff,regTypeFH_n,roadInj,sahoStatusEHA,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiffS,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
STAP,97,6.708257311408057,11114429.3726563,,10.75361206550123,11.59896836512312,4.66317406649038,55.7417019497151,28.5395843568146,20.6102276193538,7,37,.73,41933,77.07810000000001,29.9312,,,,,2152.111901758821,1.301623446195265,1.90415209833025,1930,84.34609222412109,5.14906978607178,14.5454545454545,29.8,,,35.6,56.3,66.7,,13705.34472502325,55.69584497054477,57.7890014648438,,1.89076332349799,73.19355970951806,.0000384581034172,109.7934013,,,,15.818182,1,82.2,3/neither,114,174,79.393684,3,1.3688567,.27272728,0,0,,,,,81.86,,,,,70,92,,1921,7.5606012,0,0,-.6,45.6029891967773,32,,1,7.9,24.21,,,,130,11,.531,,0,.1,0,-8401,,0,0,18.5,,,,,,,212.841,219161,2,,0/neither,2/free,27.5,1,,,,,,,,5.88,55,,6.082762530298219,5.4,73.59999999999999,13.9,,
Senegal,55,4.170560050010826,2522205664.88,,4.380772520946422,14.32776128375268,4.97676680174836,44.2169762859984,40.6958258953758,5.76488109583841,6,44.8,388.32,284534.117434767,109.721,46,18600,1.45006301698535,22.79262606008314,37.71377639608668,2979.285936768943,5.271192357583558,2.58982339291009,1460,61.2020111083984,4.83328008651733,41.8181818181818,45.3,.14,21.4557650598373,,,,,13919.94945273525,60.93820699809987,45.6839981079102,14467,2.74974740844133,10.18879993435003,.0000522434306911,111.8707518,,-999,twenty,.074108817,0,3.6,2/France,117,79,.47181278,0,0,0,1,1,3,1,5,7,74.3,0,0,0,0,33,63,0,1332,7.194437,20,1100,-.3,20.978632569313,54,,1,1.8,33.55,1,5,6,315,1066,.691,0,1,96.40000000000001,5,-100001,minCons,7,0,18.1,0,0,26.57,0,7,1,82.328,16743930,3,5,2/Muslim,2/free,23.4,1,0,1,47.4,10,2,2,1,.76,45,0,2.23606797749979,9.1,47.7,5.59,2,5
Seychelles,69,13.83586399299936,23648219.3078321,66.72234445659656,1.147674551837754,,2.64140299488298,100,20.1786493605547,51.4264061062091,32,30.1,9.529999999999999,414088,198.152,58.7698,420,1.33229195732995,80.32045941969163,91.93907734534975,,5.312514161256289,.0943515560800697,16900,98.8000030517578,4.42102003097534,21.2121212121212,14.2,,,,,,,,,,,.887925293341637,36.40423070761616,.0000989205398925,85.63748863000001,,,,.049261082,1,94,1/Britain,16,10,10.168802,0,0,0,0,0,,,,,56.42,,,,,45,137,,15692,9.6609058,0,0,.5,73.04444313049321,53,,0,1.8,12.5,,,,53,203,21.212,,0,1.1,0,-1000,,0,0,21.2,,,,,,,208.354,98340,3,,0/neither,1/partFree,15.9,1,,,,,,,,20.5,71,,3,21.1,57.1,.19,,
SierraLeone,66,8.921003303244261,62085873.75,,13.31843606000056,7.656687513664859,6.99664375139719,6.43151543397726,21.6259466795766,,8,30.7,40.72,,86.1336,9,8500,.734967689713532,15.98977826648111,37.52802675187596,1372.799060861891,5.507686457845324,7.88018419208946,540,83.2102737426758,7.70228004455566,12.3287671232877,109.2,.92,13.3495032576927,43,35.7,56.8,2.75,5238.804934957519,97.98252605243502,57.8959999084473,441,2.10907525200416,5.162511931914419,.0000524779171741,57.27583215,,0,twenty,.012121212,0,20.9,1/Britain,295,2,.025072129,0,0,0,1,14124,4,3,6,7,148,0,0,3,0,62,85,0,494,6.2025356,100,6600,.5,13.7371480464935,40,,1,14.8,83.34999999999999,0,7,7,1120,165,.251,0,1,78,2,-21000,neither,2,0,30.5,0,-999,58.66,0,7,1,104.7,7976985,3,5,1/Africa,1/partFree,,1,0,1,,13,2,2,0,5.7,39,0,2.449489742783178,19.8,42.4,9.15,0,10
Somalia,137,,,,,.0542342990654206,,14.6366178165838,32.0345842282344,,70,,9.74,34065.5568461863,48.7964,2.00405,19800,,22.66873739289332,111.3208526529756,,,,,,,24.3636363636364,117,.04,,,,,,,29.55440698326424,47.3979988098145,17882,2.85560211622181,,,98.65087474000001,,-999,war,8.3462782,0,.1,1/Britain,258,2579,16.227047,87,.54740328,.28155339,0,0,3,3,10,2,152,0,0,0,1,47,71,-999,104,4.6443911,66.666664,9133.333,-2.2,,,,1,3.5,75.90000000000001,0,10,1,829,309,.23,0,1,99.8,3,-200002,neither,24,1,21.8,0,-999,-999,1,5,1,23.5,15893219,2,5,2/Muslim,0/notFree,27.1,0,3,3,,20,3,3,-999,.009,25,0,8.774964387392123,,45.5,2.85,,5
S_Africa,56,1.315903850424576,890059293.728208,300.5823301003486,.2565016635406662,14.8267493880895,8.69932535042479,89.59881918884859,25.1022049863671,9.59251754781593,40,29.2,13008.74,25650178,165.6,56.1674,89650,.976948136071628,29.85383927701986,29.35069678236508,11077.14637159442,.1525833166642343,5.16894762824666,6040,90.34449768066411,6.50505018234253,46.3476070528967,34.5,6.9,,,,,,43678.20585325559,79.06102117333575,56.0169982910156,89285,1.33861739063304,8.893575452420896,.0000562143450729,146.4963701,,1,twenty,.010791227,1,81.2,1/Britain,615,557,.93915409,0,0,0,0,0,1,0,3,7,61.06,0,0,3,0,36,57,0,6151,8.72437,16.666666,933.33331,.3,53.6510050296783,70,,0,4.1,27.83,0,5,7,119,51616,9.054,0,0,1.7,6,727026,minCons,152,0,26.2,0,-999,-999,1,9,2,46.754,59308690,3,19,1/Africa,2/free,25.9,1,0,2,77.90000000000001,8,1,1,2,9.52,69,1,2,31.4,66,2.59,2,8
S_Sudan,79,.0012502291294692,80440000,,15.91619944364516,,1.08609817039803,23.6534385621059,45.5775055664158,1.40783884669842,13,31.4,9.08,,33.463,7.97743,185000,3.36234159652322,36.65134928047074,28.89999990402955,393.1615880387993,-10.79336462711432,11.2455973797813,1090,,1.54390001296997,28.4595300261097,96.2,2.53,,,,82.3,,,96.10743090191529,72.38600158691411,298309,.782224434404954,.3877760076521132,,,,,war,.021164021,1,60.5,1/Britain,227,4,.035734292,0,0,0,0,0,3,3,11,6,109.2,1,0,0,0,67,106,,452,6.1136823,50,3950,-2.4,8.44199508428574,34,,1,187.9,62.37,0,11,2,1150,189,,1,0,6.2,6,-870998,prod,0,0,19.8,0,0,92.99,3,0,3,18.32,11193729,,7,1/Africa,0/notFree,29.9,1,2,3,,22,3,2,,,31,0,4.358898943540674,,19.9,9.91,,7
Sudan,79,3.428431207682359,425214336,,2.971257678213615,4.922198802003373,3.95680675257557,47.0575068360152,55.3708344433937,3.36573919574596,34.5,45.4,397.77,530001,77.112,30.8703,124300,1.64795723277984,7.672523392037873,8.996003871486588,4464.620434524462,-2.503537272629473,22.0949293784341,590,61.6876411437988,,30.5164319248826,58.4,.13,,,,,,16245.35631307464,42.67489954095196,48.4389991760254,1055489,2.39143403307158,20.87792437291272,.0000431678403239,192.3030008,,-999,war,.0029954133,0,5.4,1/Britain,67,32,.072977275,5,.011402698,.00046803334,0,0,3,3,10,6,105,0,0,0,0,44,45,-999,2967,7.9953065,57.142857,4514.2856,-1.6,18.0079370737076,57,,1,51,42.02,0,11,6,295,10683,2.618,1,1,90.7,7,-250001,neither,0,0,26,0,-999,94.05,3,-4,3,23.258,43849269,3,28,2/Muslim,0/notFree,25.7,1,2,3,,21,2,2,0,.51,44,0,4.358898943540674,,34.9,2.71,-999,28
Tanzania,137,1.760765467822283,434802383.487863,,4.364413630101397,14.70677542428146,8.344200905080291,18.8368397736512,29.0766405124356,2.54923983142994,29.5,43.8,602.71,1498093,82.20820000000001,25,28000,1.31692688467923,15.14027774185473,17.09866326422203,673.228787872966,5.791371376320711,4.68377863170441,1080,68.0088195800781,3.69643998146057,36.8956743002545,50.3,2.57,25.3788782155225,49.4,40.5,26.4,2.72,5624.150789517904,91.10009935736568,83.41200256347661,242171,2.95168167328042,29.36531473399896,.0000228833030999,159.7337056,,1,none,.68598384,1,61.4,1/Britain,237,509,.852108,21,.035155732,.028301887,0,0,3,1,6,7,75.05,0,0,3,0,47,59,1,933,6.8384051,75,10275,-.8,43.2494908571243,51,,1,3.5,37,0,4,6,524,742,.14,0,0,35.2,8,-200381,neither,0,0,17.9,0,-999,58.46,1,3,1,64.699,59734213,3,40,1/Africa,1/partFree,29.2,0,0,1,52.9,10,2,1,0,11.27,,0,8.774964387392123,13.3,34.5,4.24,3,2
Togo,63,2.428165927897148,458478354.636,,5.50576370504437,6.843382218164326,14.3393266663001,22.3537520362544,35.7313356081261,5.45218652601144,2.5,48.2,86.06,640683.272,77.19499999999999,12.3602,9550,3.1246316767528,30.06151744693735,41.59308706666322,1060.775678784372,5.338669812283484,11.167490757732,690,87.4238662719727,5.36956977844238,16.4835164835165,66.90000000000001,.9,78.1182636822948,51.1,43.1,55.1,2.64,3560.145312391707,96.63145246430636,77.5920028686523,11964,2.42033520841497,15.42242799938748,.0000596327423029,117.9703261,,1,none,.055646483,0,43.7,2/France,37,34,.41069067,1,.012079137,.0016366612,0,0,4,0,8,7,114.9,0,0,0,0,37,58,0,613,6.418365,66.666664,4200,-1.1,17.6572009921074,39,,1,.7,46.99,0,5,7,396,611,.774,0,0,14,3,-9999,neither,2,1,23.6,,-999,58.77,2,-2,3,143.366,8278737,2,5,1/Africa,1/partFree,29.2,1,0,0,,13,2,2,2,2.46,43,1,1.732050807568877,7.6,42.2,2.96,3,12
Tunisia,50,2.088254200200341,2049663194.48389,21.91741236944969,2.096689332057102,15.74075356426122,3.77539424242924,99.5779906525663,37.6559937453942,22.0755586165375,9,60.7,5564.86,4335325,126.305,66.7,47800,2.55607321358028,49.2984320787035,60.07896701655759,10279.56151216207,1.043045338127669,3.28641971139101,3370,95.0537796020508,6.59601020812988,22.5806451612903,16.9,.09,,.2,32.8,15.2,11.17,36645.69368217822,34.24452477506728,46.1240005493164,1732,1.11364374282179,11.94736521253014,.0000940492662831,119.2295608,,0,none,.0019473543,0,.2,2/France,35,29,.24537556,0,0,0,0,0,1,0,2,7,57.39,0,0,2,0,33,51,0,3474,8.1530619,0,0,-.1,57.1216464042664,71,,0,6.7,14.61,0,2,7,43,14892,13.025,0,1,99.5,2,-20000,minCons,10,0,16.1,0,-999,39.46,1,7,0,74.22799999999999,11818618,3,-999,2/Muslim,1/partFree,22.8,1,0,1,,4,0,1,1,2.12,70,0,3.16227766016838,26,69.2,.29,2,3
Uganda,60,3.600230726026225,1424508662.67091,,6.066952314682584,4.852936751036578,9.64011748367126,38.0184583082306,50.4943213226178,2.57555387286036,24,33.7,673.0700000000001,19822.5,57.2726,23.7065,46000,2.05010632904299,17.19809294790035,22.36779454552087,935.6791862693243,6.803326813282354,7.46753159680173,780,52.671760559082,2.13052010536194,34.8583877995643,45.8,2.61,,41.5,42.8,21.4,3.2,5922.248673689151,90.63460079824763,70.3369979858398,1359458,3.55574052888872,18.53562292949375,.000031252526456,111.1282533,,1,twenty,.0043365136,1,86.7,1/Britain,200,30,.065586671,0,0,0,1,18,4,1,9,7,73.89,0,0,0,0,52,137,1,646,6.4707994,40,2400,-.6,15.6988218426704,66,,1,2.9,34.6,0,5,6,375,6918,1.68,1,0,11.5,5,843469,neither,3,0,21.9,0,0,60.75,2,-1,2,213.759,45741000,3,32,1/Africa,1/partFree,29,1,1,1,49.9,14,2,1,,15.09,45,0,0,9.800000000000001,24.4,5.54,4,32
Zambia,76,2.350807482853361,98259100,,3.828864547082202,31.26626585275726,7.34362541470335,10.9680004414348,27.438034758712,3.28643344145632,8.5,15.6,213.07,17505.6896363636,96.4144,14.3,16100,1.21103908630006,34.63616121205263,34.15488152731412,575.860371977264,1.441784548422191,19.1116707201319,1430,,4.61809015274048,17.9640718562874,61.7,6.03,,58.7,57.1,54.4,2.87,9454.902155457174,88.99034593453183,74.6149978637695,57518,2.89237292696711,7.432928574888285,.0000612275350559,174.7347222,,0,none,.0021854208,1,97.59999999999999,1/Britain,333,45,.24477865,2,.010879051,.000097129814,0,0,3,2,5,7,63.39,0,0,0,0,49,64,0,1513,7.3218498,62.5,4750,-.6,38.6330097913742,60,,1,9.199999999999999,43.36,0,7,7,213,20591,11.867,0,0,.5,8,-40000,neither,0,0,17.9,0,-999,50.35,0,6,2,22.995,18383956,2,6,1/Africa,1/partFree,,1,0,2,,12,2,1,,6.54,53,0,4,14.7,44,11.34,3,2
Zimbabwe,60,1.305923930266871,1729883840,,3.495055595045735,,15.8038970473848,19.9977496469528,22.2516710932407,3.75388979122588,27,31.6,359.33,,90.1023,27.0555,51000,.698600973197018,19.00060919577746,31.00475224533613,413.6159660467502,-8.100000198860926,5.74518717988444,1390,,5.87134981155396,31.8518518518519,54.6,4.87,,33.9,44.3,38.3,3.92,6207.658752167043,87.76646042818848,83.0989990234375,8956,1.41968104561509,,.0000362347250509,110.2108839,,1,none,.0023132849,1,87,1/Britain,199,7,.04709705,1,.00672815,.00033046928,0,0,4,2,9,7,66.67,1,0,0,0,51,54,1,1091,6.9948502,25,1500,-1.2,51.6157925128937,50,,1,.9,39.27,0,8,6,458,3026,2.096,0,0,.9,4,-584288,neither,0,0,19.3,0,0,61.88,3,4,3,42.729,14862927,3,36,1/Africa,0/notFree,34.7,1,0,2,85.2,17,2,1,0,4.67,54,0,0,13.9,32.2,7.8,1,30
