country,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,UHC,allhouse,armedConflict,casesMD,christCountry,christPct,colLeg_n2,comDis,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,geoDiffXdayNum,govEffInd,govHlthSpd,hlthRisks,hlthWork,idaEligible,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prtyin,regEff,regTypeFH_n,roadInj,sahoStatusEHA,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiffS,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
Malawi,137,1.283768589130046,217457944.497448,,18.82219299102263,8.696739280590967,4.08477835402939,10.4465433110195,23.5659214726087,3.37133223522155,37,34.5,231.21,7117,47.7811,13.7822,14700,.885396813321633,31.00801490650908,35.5964946761968,769.2204306814176,4.369238990752166,6.22414767571497,380,80.3485870361328,4.71483993530273,22.9166666666667,41.6,3.71,,70.8,44.7,51.5,2.01,2589.87583559744,89.50827928841602,76.7180023193359,14087,2.64037519341292,3.866248431011193,.000048991063054,110.1184739,,0,none,.81510013,1,82.7,1/Britain,146,529,2.7652967,5,.026137019,.0077041602,0,0,4,3,7,7,53.97,0,0,1,0,64,69,0,340,5.8289456,33.333332,4566.6665,-.7,30.6460410356522,35,,1,9.4,32.07,0,6,7,349,649,.358,0,0,13,3,-80263,neither,18,1,16.4,0,-999,36.42,1,6,1,197.519,19129955,3,23,1/Africa,1/partFree,31,0,0,1,74.59999999999999,13,2,1,0,3.63,46,0,8.774964387392123,12.8,17.2,13.38,2,3
Mali,137,2.857845696392336,1034339163.264,,9.010769432253893,4.827020532836407,2.82641942372024,25.4029303790148,38.5266061638458,4.96193644493086,11,54.5,90.37000000000001,,115.085,13,21000,2.70917035865403,23.32308808410456,34.62902568024846,1230.486060796372,4.751341534169114,10.2132579072996,870,49.6143913269043,3.78730988502502,9.52380952380952,94,,18.7094041523327,,,42.1,,6706.083391629236,75.97782229538281,70.81300354003911,26672,2.99663676010293,6.061811676572755,.0000482014400918,161.254473,,-999,war,.72371638,0,3.2,2/France,52,1776,8.770009,104,.5135591,.042379789,1,8,3,2,7,6,106.6,0,0,0,0,56,62,0,821,6.7105231,71.428574,9785.7148,-1,34.9335610866547,48,,1,-1.7,61.79,0,8,7,562,2454,1.286,0,1,92.40000000000001,7,-200000,neither,33,0,24.6,0,-999,39.79,2,5,1,15.196,20250834,3,4,2/Muslim,1/partFree,23.1,0,0,2,46,15,2,3,0,1.28,38,0,8.774964387392123,12,43.1,6.86,1,4
Mauritania,49,-11.62479930798491,64458913.6407564,,6.378526691763805,14.07120079761305,3.58604838368407,.6332271194228,47.4229917763898,10.9160002410617,6,67,20.32,386621,104.09,20.801,20850,2.81895547123998,39.99784887940567,53.03794628264189,1908.346208560557,5.931442088595532,16.1766720544854,1660,72.90972900390631,1.89546000957489,20.2614379084967,72.90000000000001,,,,,,,20831.71354712998,45.75370746465857,45.8839988708496,84901,2.7412802727648,.291008929085353,.0000704412794771,139.6664893,,0,none,.0012180269,0,.3,2/France,89,1,.021506948,0,0,0,0,0,3,3,8,6,87.61,0,0,0,0,45,64,0,1129,7.0290875,0,0,-.7,38.8010203838348,35,,1,2.3,51.38,0,8,7,766,821,1.865,1,1,99.09999999999999,3,25002,minCons,0,0,18.1,0,-999,81.94,3,-2,2,4.289,4649660,2,8,2/Muslim,0/notFree,24.7,1,0,1,30.4,16,2,2,,.036,41,0,3.3166247903554,,54.5,4.14,2,10
Mauritius,53,3.361961369656567,318511666.223381,61.32905728237553,.4200362942116062,,2.55086341534477,100,14.4578273223582,16.4239204853078,4.5,22.2,126.94,1726868,151.359,63.9999,3000,.153188085092372,38.51553234994893,53.65899664290144,12228.39581926034,3.014762911228175,.0020558294207908,12900,98.51373291015631,4.71934986114502,20,16,.96,,.2,36.8,10.3,13.62,50791.1077564103,62.7227902948294,58.3129997253418,20,.0322400432027594,38.68914482134981,.0000557998275298,112.2022415,,0,none,.0043613706,0,25.3,1/Britain,12,14,1.1008306,1,.078630753,.00031152647,0,0,0,0,0,7,47.68,0,0,0,0,50,52,0,10564,9.2652073,0,0,.9,42.8672343492508,64,,0,.4,13.68,0,0,7,61,3210,25.331,0,0,16.7,0,0,modCons,14,1,22.6,0,-999,-999,0,10,0,622.962,1271767,4,3,0/neither,2/free,13.7,1,0,0,,0,0,0,,4.35,63,2,2.645751311064591,26.9,40.8,.74,1,3
Morocco,50,1.336471803067447,6735496282.75754,54.64919142663551,.7009392464671473,9.185957122933944,3.15452691832883,100,32.5935414574286,24.610004637043,9,45.8,5056.77,9380951,127.953,74.3763,245800,3.09449241316458,39.10925406325738,48.03234969639584,3863.959902124889,2.481905124483006,1.58696444067816,3190,97.1357269287109,,20.5063291139241,21.4,.04,38.7501508458858,,,,,25438.71698649804,30.60921866772166,45.3059997558594,6642,1.22105092988365,22.01675709420999,.0000667216230965,128.2889279,,1,none,.0020766836,0,.1,2/France,97,54,.1462996,2,.0054185037,.000076914199,0,0,2,0,4,2,40.26,0,0,0,0,33,42,0,3069,8.0291071,0,0,-.2,42.9053366184235,75,,0,.2,19.08,0,3,7,70,26003,7.308,0,1,99.90000000000001,1,-257096,minCons,9,0,12.4,0,0,-999,1,-4,1,80.08,36910558,3,-999,2/Muslim,1/partFree,19.6,1,0,1,,7,1,1,0,.69,70,0,3.16227766016838,14.7,63,.5600000000000001,-999,18
Mozambique,137,14.26135841394371,299567589.191752,,12.50686616389328,16.41888792804608,17.3105745223817,7.99328809374314,21.2986954591341,4.10223430885018,17,36.1,139.25,587364,47.7158,10,11200,.8951816268602499,41.01132225217229,75.53582895314082,435.1149185677517,2.28359720301215,15.7634015411652,490,54.7286911010742,5.49984979629517,41.2,74.2,8.94,,,,,,3048.111366341635,97.81786078935289,78.0970001220703,4713,2.90713743750143,5.539972557010684,.000079802774931,102.2973728,,1,none,.22361504,1,56.7,3/neither,361,553,1.7692922,2,.0063988869,.00080873433,0,0,3,2,5,7,64.22,1,0,3,0,53,117,0,426,6.0544395,66.666664,9133.333,-.9,29.8636168241501,60,,1,2.8,56.37,0,6,7,289,2473,.838,0,0,18,6,-25000,neither,30,1,18.4,0,-999,57.03,0,5,0,37.728,31255435,3,39,1/Africa,1/partFree,30.1,0,0,2,50.4,11,2,2,1,2.3,46,0,8.774964387392123,14.4,36.5,5.9,2,3
Namibia,57,-.3286278038919127,60700614.7135818,21.09735202410048,1.150503488066059,,3.26071850470963,35.5208634629373,25.3587653984573,11.1824060090184,54,20.7,156.31,212578,113.165,51,15900,3.02832946632461,35.81001687692678,47.6655441789266,4815.948227593189,-1.134096127362056,4.65623116526477,5060,94.0862197875977,,42.7083333333333,42.4,5.34,,13.8,59.1,17.4,11.02,32180.82595786101,88.56484117846679,59.5340003967285,3182,1.87248088130699,9.862204341692353,.0001022841636302,131.3645267,,1,none,.00390625,1,97.5,3/neither,486,4,.15742354,0,0,0,0,0,1,0,2,6,74.79000000000001,1,0,3,0,45,137,0,5227,8.5615931,25,1425,.1,46.1430639028549,59,,0,3.7,31.16,0,3,6,195,1024,4.182,0,0,.3,4,-24030,minCons,4,0,21.3,0,0,86.73,0,6,1,3.078,2540916,2,27,1/Africa,2/free,30.4,1,0,0,,5,1,2,,5.43,62,0,1.732050807568877,17.9,51,6.97,2,3
Niger,137,4.59086805413967,320411764.8,,8.923772301635005,7.845107324947112,6.94981928727214,11.6982026139574,94.0538176774282,1.63357480305802,10,47.2,55.18,14713,40.6385,5.25049,10300,1.83998401549656,11.01565150589247,26.77826537356818,754.8219541480976,5.902791789790982,6.05794455250652,600,62.2621383666992,3.54720997810364,16.9590643274854,80.40000000000001,.09,9.60482372979151,,,40.8,,3404.902218323807,72.40979581787973,72.0419998168945,179997,3.79366815330185,6.35238523782937,.0000268981062249,169.2077515,,0,war,1.0888889,0,.8,2/France,84,980,4.0484767,66,.27265251,.07333333,0,0,4,3,10,6,139.6,0,0,0,0,51,55,0,378,5.9348941,71.428574,9785.7148,-.8,33.4261268377304,39,,1,-2.5,47.89,0,9,7,509,900,.433,0,1,98.40000000000001,7,20001,neither,0,0,20,0,-999,48.43,3,5,1,16.955,24206636,3,6,2/Muslim,1/partFree,26.2,0,0,2,45.4,19,3,3,,.67,37,0,8.774964387392123,8.6,16.5,4.63,4,6
Nigeria,59,.7362051070425688,23809281401.0144,9.80129384233952,.8714198219618696,7.09381362850324,5.67956070545213,30.9508458743352,71.79817437533259,4.30191345199514,7.2,34.8,5602.28,6539048.35309011,88.1842,42,223000,.460792414766158,14.22092679124426,19.80295104046654,6154.488794964811,2.208429277158203,11.4838700752278,2030,,,3.38028169014084,117.2,.78,26.6546207082104,39.1,35.1,40.1,,18755.83312078522,82.71620155153208,52.9070014953613,54157,2.5648418857943,2.993694676487629,.000026284898526,168.4183097,,1,war,.0010866212,0,49.3,1/Britain,219,81,.039293762,1,.00048510818,.000013415076,1,20,3,3,9,7,158.6,0,0,3,0,29,54,1,1968,7.5847731,0,0,-1,14.1832575201988,51,,1,11.4,75.74,0,9,7,917,74543,3.806,0,0,48.8,4,-300000,prod,16,0,22.5,0,0,53.96,2,7,1,209.588,206139587,3,2,1/Africa,1/partFree,21.4,1,2,3,26.3,18,2,2,2,10.84,42,0,1,4.8,51.2,2.43,2,2
Rwanda,51,4.057775252578874,260527799,31.04201593288271,12.020207579835,7.367473207318687,4.88485541750085,23.4186460018924,43.2102171630293,5.3249445515496,4,33.2,169.52,1561562.21422701,76.4915,21.7676,35000,1.18602780884773,21.8191635936645,36.12801512836173,585.6620177231417,9.428675223880248,4.02261764808882,830,97.40032958984381,3.07375001907349,61.25,34.3,.76,,56.5,43.7,38.2,2.54,4465.380958596772,100.6849715635486,83.6549987792969,145054,2.60765264493972,25.84928706341125,.000037365693588,192.1257982,,1,twenty,.0066747572,1,93.40000000000001,3/neither,57,11,.084927596,0,0,0,0,0,4,2,8,6,59.06,1,0,0,1,45,122,1,748,6.617403,25,1275,.2,34.3314200639725,71,,1,3.4,27.34,0,7,6,248,1648,1.34,1,0,1.8,4,-44998,neither,6,0,18.2,0,-999,93.09999999999999,2,-3,2,494.869,12952209,3,23,1/Africa,0/notFree,29.7,1,0,2,65.90000000000001,15,2,1,0,8.949999999999999,57,0,3,13.3,17.3,4.98,0,17
